,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
123,"McFarland, USA","$45,710,059 ","$44,482,410 ",97.30%,"$1,227,649 ",2.70%
124,Hero,"$45,565,534 ","$88,675 ",0.20%,"$45,476,859 ",99.80%
125,Max,"$43,967,255 ","$42,656,255 ",97%,"$1,311,000 ",3%
126,Still Alice,"$43,884,652 ","$18,754,371 ",42.70%,"$25,130,281 ",57.30%
127,The Duff,"$43,528,634 ","$34,030,343 ",78.20%,"$9,498,291 ",21.80%
128,Legend,"$42,972,994 ","$1,872,994 ",4.40%,"$41,100,000 ",95.60%
129,The Gallows,"$42,964,410 ","$22,764,410 ",53%,"$20,200,000 ",47%
130,Love the Coopers,"$42,426,912 ","$26,302,731 ",62%,"$16,124,181 ",38%
131,The Lady in the Van,"$41,387,687 ","$10,021,175 ",24.20%,"$31,366,512 ",75.80%
132,Ricki and the Flash,"$41,325,328 ","$26,822,144 ",64.90%,"$14,503,184 ",35.10%
133,Carol,"$40,272,135 ","$12,711,491 ",31.60%,"$27,560,644 ",68.40%
134,Northern Limit Line,"$40,034,677 ","$337,907 ",0.80%,"$39,696,770 ",99.20%
135,Criminal,"$38,803,993 ","$14,708,696 ",37.90%,"$24,095,297 ",62.10%
136,Boruto: Naruto the Movie,"$38,362,448 ","$919,651 ",2.40%,"$37,442,797 ",97.60%
137,The Lazarus Effect,"$38,356,892 ","$25,801,570 ",67.30%,"$12,555,322 ",32.70%
138,A Walk in the Woods,"$37,461,274 ","$29,504,281 ",78.80%,"$7,956,993 ",21.20%
139,Ex Machina,"$36,869,414 ","$25,442,958 ",69%,"$11,426,456 ",31%
140,Burnt,"$36,606,743 ","$13,651,946 ",37.30%,"$22,954,797 ",62.70%
141,The Priests,"$36,577,134 ","$185,093 ",0.50%,"$36,392,041 ",99.50%
142,Room,"$35,401,758 ","$14,677,654 ",41.50%,"$20,724,104 ",58.50%
143,Lost and Love,"$34,930,177 ","$188,817 ",0.50%,"$34,741,360 ",99.50%
144,Secret in Their Eyes,"$34,854,990 ","$20,180,155 ",57.90%,"$14,674,835 ",42.10%
145,Steve Jobs,"$34,441,873 ","$17,766,658 ",51.60%,"$16,675,215 ",48.40%
146,Victor Frankenstein,"$34,227,298 ","$5,775,076 ",16.90%,"$28,452,222 ",83.10%
147,The Witness,"$33,963,557 ","$418,063 ",1.20%,"$33,545,494 ",98.80%
148,Project Almanac,"$33,213,241 ","$22,348,241 ",67.30%,"$10,865,000 ",32.70%
149,Dilwale,"$31,994,323 ","$4,871,263 ",15.20%,"$27,123,060 ",84.80%
150,Saving Mr. Wu,"$31,222,161 ","$92,696 ",0.30%,"$31,129,465 ",99.70%
151,Attack on Titan,"$30,810,658 ","$449,523 ",1.50%,"$30,361,135 ",98.50%
152,A Man Called Ove,"$30,691,696 ","$3,479,315 ",11.30%,"$27,212,381 ",88.70%
153,Self/less,"$30,523,226 ","$12,279,691 ",40.20%,"$18,243,535 ",59.80%
154,Far from the Madding Crowd,"$30,229,977 ","$12,236,500 ",40.50%,"$17,993,477 ",59.50%
155,Mr. Holmes,"$29,355,203 ","$17,737,646 ",60.40%,"$11,617,557 ",39.60%
156,Love & Mercy,"$28,641,776 ","$12,551,031 ",43.80%,"$16,090,745 ",56.20%
157,Irrational Man,"$27,391,084 ","$4,030,360 ",14.70%,"$23,360,724 ",85.30%
158,Detective K: Secret of the Lost Island,"$27,387,870 ","$185,367 ",0.70%,"$27,202,503 ",99.30%
159,American Ultra,"$27,139,524 ","$14,440,985 ",53.20%,"$12,698,539 ",46.80%
160,Aloha,"$26,250,020 ","$21,067,116 ",80.30%,"$5,182,904 ",19.70%
161,Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561 ","$9,080,818 ",35.10%,"$16,811,743 ",64.90%
162,The 33,"$24,902,723 ","$12,227,722 ",49.10%,"$12,675,001 ",50.90%
163,Wild City,"$24,817,852 ","$34,866 ",0.10%,"$24,782,986 ",99.90%
164,Capture the Flag,"$24,604,331 ","$6,690 ",<0.1%,"$24,597,641 ",100%
165,The Gunman,"$24,177,137 ","$10,664,749 ",44.10%,"$13,512,388 ",55.90%
166,The Dressmaker,"$23,762,417 ","$2,022,115 ",8.50%,"$21,740,302 ",91.50%
167,Amy,"$23,706,049 ","$8,413,144 ",35.50%,"$15,292,905 ",64.50%
168,Youth,"$23,459,358 ","$2,703,296 ",11.50%,"$20,756,062 ",88.50%
169,Solace,"$22,354,572 ",-,-,"$22,354,572 ",100%
170,Twenty,"$22,271,862 ","$136,125 ",0.60%,"$22,135,737 ",99.40%
171,Fifty Shades of Black,"$22,227,514 ","$11,686,940 ",52.60%,"$10,540,574 ",47.40%
172,Black or White,"$21,833,967 ","$21,571,189 ",98.80%,"$262,778 ",1.20%
173,Go Away Mr Tumour,"$21,786,639 ","$286,639 ",1.30%,"$21,500,000 ",98.70%
174,Welcome Back,"$21,775,694 ","$1,388,365 ",6.40%,"$20,387,329 ",93.60%
175,It Follows,"$21,528,593 ","$14,674,076 ",68.20%,"$6,854,517 ",31.80%
176,Love Live! The School Idol Movie,"$21,292,009 ","$115,840 ",0.50%,"$21,176,169 ",99.50%
177,The Clan,"$20,381,995 ","$201,227 ",1%,"$20,180,768 ",99%
178,Singh Is Bliing,"$20,224,851 ","$919,095 ",4.50%,"$19,305,756 ",95.50%
179,Blackhat,"$19,652,057 ","$8,005,980 ",40.70%,"$11,646,077 ",59.30%
180,Dope,"$17,986,781 ","$17,506,470 ",97.30%,"$480,311 ",2.70%
181,Brothers,"$17,857,939 ","$613,775 ",3.40%,"$17,244,164 ",96.60%
182,Regression,"$17,671,101 ","$55,039 ",0.30%,"$17,616,062 ",99.70%
183,Neerja,"$17,618,280 ","$1,585,687 ",9%,"$16,032,593 ",91%
184,Little Boy,"$17,572,289 ","$6,485,961 ",36.90%,"$11,086,328 ",63.10%
185,While We're Young,"$17,287,309 ","$7,587,485 ",43.90%,"$9,699,824 ",56.10%
186,Monkey Kingdom,"$16,661,077 ","$16,432,322 ",98.60%,"$228,755 ",1.40%
187,Macbeth,"$16,322,067 ","$1,110,707 ",6.80%,"$15,211,360 ",93.20%
188,Gangnam Blues,"$16,191,434 ","$18,022 ",0.10%,"$16,173,412 ",99.90%
189,Scouts Guide to the Zombie Apocalypse,"$16,137,046 ","$3,703,046 ",22.90%,"$12,434,000 ",77.10%
190,Suffragette,"$16,002,420 ","$4,702,420 ",29.40%,"$11,300,000 ",70.60%
191,The Brand New Testament,"$15,709,652 ","$127,910 ",0.80%,"$15,581,742 ",99.20%
192,Chronicles of Evil,"$15,460,494 ","$105,057 ",0.70%,"$15,355,437 ",99.30%
193,Our Little Sister,"$15,407,615 ","$64,441 ",0.40%,"$15,343,174 ",99.60%
194,Attack on Titan II: End of the World,"$15,186,410 ","$305,934 ",2%,"$14,880,476 ",98%
195,Tamasha,"$15,159,762 ","$2,065,487 ",13.60%,"$13,094,275 ",86.40%
196,Unfinished Business,"$14,431,253 ","$10,219,501 ",70.80%,"$4,211,752 ",29.20%
197,45 Years,"$14,430,249 ","$4,247,285 ",29.40%,"$10,182,964 ",70.60%
198,Woodlawn,"$14,401,617 ","$14,394,097 ",99.90%,"$7,520 ",<0.1%
199,Do You Believe?,"$14,394,643 ","$12,985,600 ",90.20%,"$1,409,043 ",9.80%
200,Captain America: Civil War,"$1,153,296,293 ","$408,084,349 ",35.40%,"$745,211,944 ",64.60%
201,Rogue One: A Star Wars Story,"$1,056,057,273 ","$532,177,324 ",50.40%,"$523,879,949 ",49.60%
202,Finding Dory,"$1,028,570,889 ","$486,295,561 ",47.30%,"$542,275,328 ",52.70%
203,Zootopia,"$1,023,784,195 ","$341,268,248 ",33.30%,"$682,515,947 ",66.70%
204,The Jungle Book,"$966,550,600 ","$364,001,123 ",37.70%,"$602,549,477 ",62.30%
205,The Secret Life of Pets,"$875,457,937 ","$368,384,330 ",42.10%,"$507,073,607 ",57.90%
206,Fantastic Beasts and Where to Find Them,"$814,037,575 ","$234,037,575 ",28.80%,"$580,000,000 ",71.20%
207,Deadpool,"$782,612,155 ","$363,070,709 ",46.40%,"$419,541,446 ",53.60%
208,Suicide Squad,"$746,846,894 ","$325,100,054 ",43.50%,"$421,746,840 ",56.50%
209,Doctor Strange,"$677,718,395 ","$232,641,920 ",34.30%,"$445,076,475 ",65.70%
210,Moana,"$643,331,111 ","$248,757,044 ",38.70%,"$394,574,067 ",61.30%
211,Sing,"$634,151,679 ","$270,395,425 ",42.60%,"$363,756,254 ",57.40%
212,Mei ren yu,"$553,810,228 ","$3,232,685 ",0.60%,"$550,577,543 ",99.40%
213,X-Men: Apocalypse,"$543,934,105 ","$155,442,489 ",28.60%,"$388,491,616 ",71.40%
214,Kung Fu Panda 3,"$521,170,825 ","$143,528,619 ",27.50%,"$377,642,206 ",72.50%
215,La La Land,"$446,092,357 ","$151,101,803 ",33.90%,"$294,990,554 ",66.10%
216,Warcraft,"$439,048,914 ","$47,365,290 ",10.80%,"$391,683,624 ",89.20%
217,Jason Bourne,"$415,484,914 ","$162,434,410 ",39.10%,"$253,050,504 ",60.90%
218,Ice Age: Collision Course,"$408,579,038 ","$64,063,008 ",15.70%,"$344,516,030 ",84.30%
219,Independence Day: Resurgence,"$389,681,935 ","$103,144,286 ",26.50%,"$286,537,649 ",73.50%
220,Your Name.,"$357,986,087 ","$5,017,246 ",1.40%,"$352,968,841 ",98.60%
221,The Legend of Tarzan,"$356,700,357 ","$126,643,061 ",35.50%,"$230,057,296 ",64.50%
222,The Angry Birds Movie,"$352,333,929 ","$107,509,366 ",30.50%,"$244,824,563 ",69.50%
223,Trolls,"$346,864,462 ","$153,707,064 ",44.30%,"$193,157,398 ",55.70%
224,Star Trek Beyond,"$343,471,816 ","$158,848,340 ",46.20%,"$184,623,476 ",53.80%
225,The Great Wall,"$334,933,831 ","$45,540,830 ",13.60%,"$289,393,001 ",86.40%
226,Now You See Me 2,"$334,897,606 ","$65,075,540 ",19.40%,"$269,822,066 ",80.60%
227,The Conjuring 2,"$320,392,818 ","$102,470,008 ",32%,"$217,922,810 ",68%
228,Resident Evil: The Final Chapter,"$312,242,626 ","$26,830,068 ",8.60%,"$285,412,558 ",91.40%
229,Passengers,"$303,144,152 ","$100,014,699 ",33%,"$203,129,453 ",67%
230,Dangal,"$302,895,451 ","$12,391,761 ",4.10%,"$290,503,690 ",95.90%
231,Alice Through the Looking Glass,"$299,457,024 ","$77,041,381 ",25.70%,"$222,415,643 ",74.30%
232,Miss Peregrine's Home for Peculiar Children,"$296,482,446 ","$87,242,834 ",29.40%,"$209,239,612 ",70.60%
233,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848 ","$82,051,601 ",33.40%,"$163,572,247 ",66.60%
234,Sully,"$240,797,623 ","$125,070,033 ",51.90%,"$115,727,590 ",48.10%
235,Assassin's Creed,"$240,697,856 ","$54,647,948 ",22.70%,"$186,049,908 ",77.30%
236,Hidden Figures,"$235,956,898 ","$169,607,287 ",71.90%,"$66,349,611 ",28.10%
237,Ghostbusters,"$229,147,509 ","$128,350,574 ",56%,"$100,796,935 ",44%
238,Inferno,"$220,021,259 ","$34,343,574 ",15.60%,"$185,677,685 ",84.40%
239,Central Intelligence,"$216,972,543 ","$127,440,871 ",58.70%,"$89,531,672 ",41.30%
240,Bridget Jones's Baby,"$211,952,420 ","$24,252,420 ",11.40%,"$187,700,000 ",88.60%
241,Me Before You,"$208,314,186 ","$56,245,075 ",27%,"$152,069,111 ",73%
242,London Has Fallen,"$205,754,447 ","$62,524,260 ",30.40%,"$143,230,187 ",69.60%
243,Arrival,"$203,388,186 ","$100,546,139 ",49.40%,"$102,842,047 ",50.60%
244,The Monkey King 2,"$193,677,158 ","$709,982 ",0.40%,"$192,967,176 ",99.60%
245,Bad Moms,"$183,936,074 ","$113,257,297 ",61.60%,"$70,678,777 ",38.40%
246,Storks,"$183,388,953 ","$72,679,278 ",39.60%,"$110,709,675 ",60.40%
247,The BFG,"$183,288,689 ","$55,483,770 ",30.30%,"$127,804,919 ",69.70%
248,Allegiant,"$179,246,868 ","$66,184,051 ",36.90%,"$113,062,817 ",63.10%
249,Hacksaw Ridge,"$175,302,354 ","$67,209,615 ",38.30%,"$108,092,739 ",61.70%
250,The Girl on the Train,"$173,185,859 ","$75,395,035 ",43.50%,"$97,790,824 ",56.50%
251,Operation Mekong,"$173,128,787 ","$800,012 ",0.50%,"$172,328,775 ",99.50%
252,The Huntsman: Winter's War,"$164,989,338 ","$48,390,190 ",29.30%,"$116,599,148 ",70.70%
253,The Magnificent Seven,"$162,360,636 ","$93,432,655 ",57.50%,"$68,927,981 ",42.50%
254,Jack Reacher: Never Go Back,"$162,146,076 ","$58,697,076 ",36.20%,"$103,449,000 ",63.80%
255,Don't Breathe,"$157,100,845 ","$89,217,875 ",56.80%,"$67,882,970 ",43.20%
256,The Accountant,"$155,160,045 ","$86,260,045 ",55.60%,"$68,900,000 ",44.40%
257,Lights Out,"$148,868,835 ","$67,268,835 ",45.20%,"$81,600,000 ",54.80%
258,Pete's Dragon,"$143,695,338 ","$76,233,151 ",53.10%,"$67,462,187 ",46.90%
259,Sausage Party,"$140,705,322 ","$97,685,686 ",69.40%,"$43,019,636 ",30.60%
260,Lion,"$140,312,928 ","$51,738,905 ",36.90%,"$88,574,023 ",63.10%
261,Mechanic: Resurrection,"$125,729,635 ","$21,218,403 ",16.90%,"$104,511,232 ",83.10%
262,Deepwater Horizon,"$121,790,373 ","$61,433,527 ",50.40%,"$60,356,846 ",49.60%
263,Allied,"$119,520,023 ","$40,098,064 ",33.50%,"$79,421,959 ",66.50%
264,I Belonged to You,"$119,107,580 ","$744,541 ",0.60%,"$118,363,039 ",99.40%
265,The Shallows,"$119,100,758 ","$55,124,043 ",46.30%,"$63,976,715 ",53.70%
266,The Purge: Election Year,"$118,587,880 ","$79,213,375 ",66.80%,"$39,374,505 ",33.20%
267,Why Him?,"$118,102,725 ","$60,323,786 ",51.10%,"$57,778,939 ",48.90%
268,Finding Mr Right 2,"$114,679,097 ",-,-,"$114,679,097 ",100%
269,Office Christmas Party,"$114,501,299 ","$54,767,494 ",47.80%,"$59,733,805 ",52.20%
270,How to Be Single,"$112,343,513 ","$46,843,513 ",41.70%,"$65,500,000 ",58.30%
271,10 Cloverfield Lane,"$110,216,998 ","$72,082,998 ",65.40%,"$38,134,000 ",34.60%
272,Neighbors 2: Sorority Rising,"$108,007,109 ","$55,455,765 ",51.30%,"$52,551,344 ",48.70%
273,Cold War II,"$103,197,501 ","$560,824 ",0.50%,"$102,636,677 ",99.50%
274,Railroad Tigers,"$102,205,175 ","$218,044 ",0.20%,"$101,987,131 ",99.80%
275,Some Like It Hot,"$95,721,320 ","$100,026 ",0.10%,"$95,621,294 ",99.90%
276,Dirty Grandpa,"$94,073,028 ","$35,593,113 ",37.80%,"$58,479,915 ",62.20%
277,Ben-Hur,"$94,061,311 ","$26,410,477 ",28.10%,"$67,650,834 ",71.90%
278,Money Monster,"$93,282,604 ","$41,012,075 ",44%,"$52,270,529 ",56%
279,My Big Fat Greek Wedding 2,"$88,923,251 ","$59,689,605 ",67.10%,"$29,233,646 ",32.90%
280,Collateral Beauty,"$88,528,280 ","$31,016,021 ",35%,"$57,512,259 ",65%
281,Train to Busan,"$87,547,518 ","$2,129,768 ",2.40%,"$85,417,750 ",97.60%
282,Sultan,"$87,280,000 ","$6,200,000 ",7.10%,"$81,080,000 ",92.90%
283,War Dogs,"$86,234,523 ","$43,034,523 ",49.90%,"$43,200,000 ",50.10%
284,Nerve,"$85,251,425 ","$38,583,626 ",45.30%,"$46,667,799 ",54.70%
