Rank,Release Group,Worldwide,Domestic,%,Foreign,%
66,Captain Underpants: The First Epic Movie,"$125,427,681 ","$73,921,000 ",58.90%,"$51,506,681 ",41.10%
67,The Lego Ninjago Movie,"$123,081,555 ","$59,281,555 ",48.20%,"$63,800,000 ",51.80%
68,Secret Superstar,"$121,956,937 ",-,-,"$121,956,937 ",100%
69,The Commuter,"$119,942,387 ","$36,343,858 ",30.30%,"$83,598,529 ",69.70%
70,The Dark Tower,"$113,231,078 ","$50,701,325 ",44.80%,"$62,529,753 ",55.20%
71,Buddies in India,"$109,593,721 ","$293,194 ",0.30%,"$109,300,527 ",99.70%
72,Along With the Gods: The Two Worlds,"$109,383,972 ","$1,908,823 ",1.70%,"$107,475,149 ",98.30%
73,Jigsaw,"$102,952,888 ","$38,052,832 ",37%,"$64,900,056 ",63%
74,Life,"$100,541,806 ","$30,234,022 ",30.10%,"$70,307,784 ",69.90%
75,Atomic Blonde,"$100,014,025 ","$51,687,870 ",51.70%,"$48,326,155 ",48.30%
76,The Shack,"$96,942,115 ","$57,386,418 ",59.20%,"$39,555,697 ",40.80%
77,Chasing the Dragon,"$87,965,942 ","$456,854 ",0.50%,"$87,509,088 ",99.50%
78,Tiger Zinda Hai,"$87,320,000 ","$5,560,921 ",6.40%,"$81,759,079 ",93.60%
79,Going in Style,"$84,918,541 ","$45,018,541 ",53%,"$39,900,000 ",47%
80,Rings,"$83,080,890 ","$27,793,018 ",33.50%,"$55,287,872 ",66.50%
81,Once Upon A Time,"$82,886,178 ","$485,728 ",0.60%,"$82,400,450 ",99.40%
82,A Taxi Driver,"$81,674,009 ","$1,527,829 ",1.90%,"$80,146,180 ",98.10%
83,Lady Bird,"$78,965,611 ","$48,958,273 ",62%,"$30,007,338 ",38%
84,American Assassin,"$67,234,188 ","$36,249,674 ",53.90%,"$30,984,514 ",46.10%
85,Victoria & Abdul,"$65,421,267 ","$22,245,070 ",34%,"$43,176,197 ",66%
86,The Nut Job 2: Nutty by Nature,"$65,146,020 ","$28,370,522 ",43.50%,"$36,775,498 ",56.50%
87,The Mountain Between Us,"$62,832,209 ","$30,348,555 ",48.30%,"$32,483,654 ",51.70%
88,The Star,"$62,812,974 ","$40,852,824 ",65%,"$21,960,150 ",35%
89,47 Meters Down,"$62,187,529 ","$44,307,191 ",71.20%,"$17,880,338 ",28.80%
90,How to Be a Latin Lover,"$61,881,372 ","$32,149,404 ",52%,"$29,731,968 ",48%
91,"Everything, Everything","$61,621,140 ","$34,121,140 ",55.40%,"$27,500,000 ",44.60%
92,Snatched,"$60,845,711 ","$45,852,178 ",75.40%,"$14,993,533 ",24.60%
93,My Little Pony: The Movie,"$60,330,833 ","$21,885,107 ",36.30%,"$38,445,726 ",63.70%
94,Molly's Game,"$59,284,015 ","$28,780,744 ",48.50%,"$30,503,271 ",51.50%
95,The Devotion of Suspect X,"$59,035,664 ","$686,435 ",1.20%,"$58,349,229 ",98.80%
96,Shock Wave,"$58,815,633 ",-,-,"$58,815,633 ",100%
97,Goldbuster,"$57,628,292 ","$186,135 ",0.30%,"$57,442,157 ",99.70%
98,All the Money in the World,"$56,996,304 ","$25,113,707 ",44.10%,"$31,882,597 ",55.90%
99,The Big Sick,"$56,411,585 ","$42,873,127 ",76%,"$13,538,458 ",24%
100,Confidential Assignment,"$55,972,241 ","$475,618 ",0.80%,"$55,496,623 ",99.20%
101,All Eyez on Me,"$55,668,698 ","$44,922,302 ",80.70%,"$10,746,396 ",19.30%
102,Downsizing,"$55,003,890 ","$24,449,754 ",44.50%,"$30,554,136 ",55.50%
103,"I, Tonya","$53,939,297 ","$30,014,539 ",55.60%,"$23,924,758 ",44.40%
104,Logan Lucky,"$48,453,605 ","$27,780,977 ",57.30%,"$20,672,628 ",42.70%
105,Boo 2! A Madea Halloween,"$48,333,932 ","$47,319,572 ",97.90%,"$1,014,360 ",2.10%
106,Phantom Thread,"$47,756,590 ","$21,198,205 ",44.40%,"$26,558,385 ",55.60%
107,Rough Night,"$47,347,283 ","$22,105,643 ",46.70%,"$25,241,640 ",53.30%
108,Son of Bigfoot,"$47,046,281 ","$289,308 ",0.60%,"$46,756,973 ",99.40%
109,The Thousand Faces of Dunjia,"$46,263,237 ","$124,187 ",0.30%,"$46,139,050 ",99.70%
110,The Battleship Island,"$46,141,474 ","$1,104,957 ",2.40%,"$45,036,517 ",97.60%
111,Flatliners,"$45,158,254 ","$16,883,115 ",37.40%,"$28,275,139 ",62.60%
112,Mother!,"$44,516,999 ","$17,800,004 ",40%,"$26,716,995 ",60%
113,Wind River,"$43,980,821 ","$33,800,859 ",76.90%,"$10,179,962 ",23.10%
114,Battle of Memories,"$43,892,362 ","$594,552 ",1.40%,"$43,297,810 ",98.60%
115,The Snowman,"$43,084,060 ","$6,700,035 ",15.60%,"$36,384,025 ",84.40%
116,Gifted,"$43,046,590 ","$24,801,212 ",57.60%,"$18,245,378 ",42.40%
117,Loving Vincent,"$42,187,665 ","$6,735,118 ",16%,"$35,452,547 ",84%
118,Mary and the Witch's Flower,"$41,978,431 ","$2,418,404 ",5.80%,"$39,560,027 ",94.20%
119,Call Me by Your Name,"$41,887,595 ","$18,095,701 ",43.20%,"$23,791,894 ",56.80%
120,T2 Trainspotting,"$41,681,746 ","$2,402,004 ",5.80%,"$39,279,742 ",94.20%
121,Fist Fight,"$41,087,017 ","$32,187,017 ",78.30%,"$8,900,000 ",21.70%
122,The Circle,"$40,656,399 ","$20,497,844 ",50.40%,"$20,158,555 ",49.60%
123,Diary of a Wimpy Kid: The Long Haul,"$40,140,972 ","$20,738,724 ",51.70%,"$19,402,248 ",48.30%
124,Brotherhood of Blades 2,"$39,966,092 ","$14,204 ",<0.1%,"$39,951,888 ",100%
125,Pokémon the Movie: I Choose You!,"$37,552,144 ","$2,401,722 ",6.40%,"$35,150,422 ",93.60%
126,Home Again,"$37,270,721 ","$27,020,284 ",72.50%,"$10,250,437 ",27.50%
127,The Adventurers,"$36,796,816 ","$216,556 ",0.60%,"$36,580,260 ",99.40%
128,Hostiles,"$35,669,017 ","$29,819,114 ",83.60%,"$5,849,903 ",16.40%
129,Namiya,"$35,342,550 ","$70,814 ",0.20%,"$35,271,736 ",99.80%
130,Kidnap,"$34,814,102 ","$30,971,040 ",89%,"$3,843,062 ",11%
131,The House,"$34,184,504 ","$25,584,504 ",74.80%,"$8,600,000 ",25.20%
132,Tad the Lost Explorer and the Secret of King Midas,"$34,156,960 ","$5,874 ",<0.1%,"$34,151,086 ",100%
133,I Want to Eat Your Pancreas,"$33,748,006 ","$277,019 ",0.80%,"$33,470,987 ",99.20%
134,Sleepless,"$32,917,353 ","$20,783,704 ",63.10%,"$12,133,649 ",36.90%
135,This Is Not What I Expected,"$30,996,615 ","$337,670 ",1.10%,"$30,658,945 ",98.90%
136,Reset 2017 Re-release,"$29,945,245 ","$108,970 ",0.40%,"$29,836,275 ",99.60%
137,The Disaster Artist,"$29,820,616 ","$21,120,616 ",70.80%,"$8,700,000 ",29.20%
138,The Swindlers,"$29,721,916 ","$241,916 ",0.80%,"$29,480,000 ",99.20%
139,The Fortress,"$28,645,448 ","$252,895 ",0.90%,"$28,392,553 ",99.10%
140,The Beguiled,"$27,397,655 ","$10,709,995 ",39.10%,"$16,687,660 ",60.90%
141,Twins 2,"$26,942,127 ","$1,431,255 ",5.30%,"$25,510,872 ",94.70%
142,CHIPS,"$26,800,152 ","$18,600,152 ",69.40%,"$8,200,000 ",30.60%
143,The Bye Bye Man,"$26,667,197 ","$22,395,806 ",84%,"$4,271,391 ",16%
144,A Cure for Wellness,"$26,620,002 ","$8,106,986 ",30.50%,"$18,513,016 ",69.50%
145,Monster Family,"$26,441,892 ","$127,259 ",0.50%,"$26,314,633 ",99.50%
146,The Zookeeper's Wife,"$26,127,965 ","$17,571,660 ",67.30%,"$8,556,305 ",32.70%
147,Only The Brave,"$25,754,775 ","$18,343,983 ",71.20%,"$7,410,792 ",28.80%
148,Fireworks,"$25,672,406 ","$525,280 ",2%,"$25,147,126 ",98%
149,Father Figures,"$25,601,244 ","$17,501,244 ",68.40%,"$8,100,000 ",31.60%
150,Badrinath Ki Dulhania,"$25,192,691 ","$1,993,259 ",7.90%,"$23,199,432 ",92.10%
151,The Death of Stalin,"$24,646,055 ","$8,047,856 ",32.70%,"$16,598,199 ",67.30%
152,I Can Speak,"$24,024,444 ","$63,239 ",0.30%,"$23,961,205 ",99.70%
153,Wish Upon,"$23,468,586 ","$14,301,505 ",60.90%,"$9,167,081 ",39.10%
154,Detroit,"$23,355,100 ","$16,790,139 ",71.90%,"$6,564,961 ",28.10%
155,Jolly LLB 2,"$22,974,019 ","$1,654,254 ",7.20%,"$21,319,765 ",92.80%
156,Extraordinary Mission,"$22,757,764 ","$54,174 ",0.20%,"$22,703,590 ",99.80%
157,Perfect Strangers,"$22,351,401 ","$1,014,507 ",4.50%,"$21,336,894 ",95.50%
158,The Glass Castle,"$22,088,533 ","$17,273,059 ",78.20%,"$4,815,474 ",21.80%
159,Leap! 2017 Re-release,"$21,929,861 ","$21,858,070 ",99.70%,"$71,791 ",0.30%
160,The Prison,"$21,205,329 ","$207,481 ",1%,"$20,997,848 ",99%
161,Sword Art Online The Movie: Ordinal Scale,"$20,725,409 ","$1,522,976 ",7.30%,"$19,202,433 ",92.70%
162,It Comes At Night,"$19,280,931 ","$13,985,117 ",72.50%,"$5,295,814 ",27.50%
163,The Lost City of Z,"$19,263,938 ","$8,580,410 ",44.50%,"$10,683,528 ",55.50%
164,Memoir of a Murderer,"$19,015,346 ","$91,335 ",0.50%,"$18,924,011 ",99.50%
165,Battle of the Sexes,"$18,598,607 ","$12,638,526 ",68%,"$5,960,081 ",32%
166,Fabricated City,"$18,307,490 ","$104,874 ",0.60%,"$18,202,616 ",99.40%
167,Unforgettable,"$17,768,012 ","$11,368,012 ",64%,"$6,400,000 ",36%
168,The Case for Christ,"$17,644,496 ","$14,682,684 ",83.20%,"$2,961,812 ",16.80%
169,Toilet: A Love Story,"$17,567,417 ","$1,830,715 ",10.40%,"$15,736,702 ",89.60%
170,Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$17,422,935 ","$193,833 ",1.10%,"$17,229,102 ",98.90%
171,Legend of the Naga Pearls,"$17,274,695 ","$13,588 ",<0.1%,"$17,261,107 ",99.90%
172,Before I Fall,"$16,373,843 ","$12,241,122 ",74.80%,"$4,132,721 ",25.20%
173,Wonder Wheel,"$15,889,124 ","$1,404,061 ",8.80%,"$14,485,063 ",91.20%
174,Gold,"$14,880,939 ","$7,227,038 ",48.60%,"$7,653,901 ",51.40%
175,School of Life,"$14,880,497 ","$6,300 ",<0.1%,"$14,874,197 ",100%
176,The Space Between Us,"$14,793,385 ","$7,885,294 ",53.30%,"$6,908,091 ",46.70%
177,Megan Leavey,"$14,510,490 ","$13,406,883 ",92.40%,"$1,103,607 ",7.60%
178,Do It Like An Hombre,"$13,610,252 ","$2,534,252 ",18.60%,"$11,076,000 ",81.40%
179,The Third Murder,"$13,395,005 ","$89,315 ",0.70%,"$13,305,690 ",99.30%
180,Our President,"$13,392,049 ","$507,268 ",3.80%,"$12,884,781 ",96.20%
181,Paris Can Wait,"$13,203,541 ","$5,617,731 ",42.50%,"$7,585,810 ",57.50%
182,"Roman J. Israel, Esq.","$13,025,860 ","$11,962,778 ",91.80%,"$1,063,082 ",8.20%
183,Mubarakan,"$12,899,968 ","$758,868 ",5.90%,"$12,141,100 ",94.10%
184,Suburbicon,"$12,751,667 ","$5,775,178 ",45.30%,"$6,976,489 ",54.70%
185,Their Finest,"$12,597,262 ","$3,603,484 ",28.60%,"$8,993,778 ",71.40%
186,The Promise,"$12,448,676 ","$8,224,288 ",66.10%,"$4,224,388 ",33.90%
187,Marrowbone,"$12,294,931 ","$1,377 ",<0.1%,"$12,293,554 ",100%
188,The Bookshop,"$12,055,868 ","$1,588,150 ",13.20%,"$10,467,718 ",86.80%
189,Earth: One Amazing Day,"$11,712,496 ","$81,345 ",0.70%,"$11,631,151 ",99.30%
190,Back to Burgundy,"$11,625,884 ","$257,610 ",2.20%,"$11,368,274 ",97.80%
191,The King's Case Note,"$11,383,493 ","$90,959 ",0.80%,"$11,292,534 ",99.20%
192,The Belko Experiment,"$11,084,630 ","$10,166,820 ",91.70%,"$917,810 ",8.30%
193,The Florida Project,"$10,971,298 ","$5,904,366 ",53.80%,"$5,066,932 ",46.20%
194,A Bag of Marbles,"$10,898,998 ","$411,318 ",3.80%,"$10,487,680 ",96.20%
195,The Leisure Seeker,"$10,472,180 ","$3,226,443 ",30.80%,"$7,245,737 ",69.20%
196,Furious,"$10,433,259 ","$9,996 ",<0.1%,"$10,423,263 ",99.90%
197,Marshall,"$10,116,816 ","$10,051,659 ",99.40%,"$65,157 ",0.60%
198,Thank You for Your Service,"$9,995,692 ","$9,536,300 ",95.40%,"$459,392 ",4.60%
199,Maudie,"$9,733,932 ","$6,170,998 ",63.40%,"$3,562,934 ",36.60%
200,Overdrive,"$9,650,552 ","$7,793 ",<0.1%,"$9,642,759 ",99.90%
