Rank,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
64,Crawl,"$90,510,445 ","$39,014,193 ",43.10%,"$51,496,252 ",56.90%
65,Rambo: Last Blood,"$87,041,796 ","$44,819,352 ",51.50%,"$42,222,444 ",48.50%
66,One Piece: Stampede,"$80,438,653 ","$1,298,528 ",1.60%,"$79,140,125 ",98.40%
67,Cold Pursuit,"$76,419,755 ","$32,138,862 ",42.10%,"$44,280,893 ",57.90%
68,A Dog's Way Home,"$76,087,556 ","$42,004,346 ",55.20%,"$34,083,210 ",44.80%
69,A Madea Family Funeral,"$74,747,725 ","$73,257,045 ",98%,"$1,490,680 ",2%
70,Knives Out,"$72,622,256 ","$43,122,512 ",59.40%,"$29,499,744 ",40.60%
71,What Men Want,"$72,216,294 ","$54,611,903 ",75.60%,"$17,604,391 ",24.40%
72,A Dog's Journey,"$71,746,590 ","$22,546,590 ",31.40%,"$49,200,000 ",68.60%
73,After,"$69,497,587 ","$12,138,565 ",17.50%,"$57,359,022 ",82.50%
74,Exit,"$69,483,204 ","$470,699 ",0.70%,"$69,012,505 ",99.30%
75,Last Christmas,"$68,135,600 ","$31,835,600 ",46.70%,"$36,300,000 ",53.30%
76,War,"$67,179,155 ","$4,654,000 ",6.90%,"$62,525,155 ",93.10%
77,Doctor Sleep,"$67,128,244 ","$30,628,244 ",45.60%,"$36,500,000 ",54.40%
78,Happy Death Day 2U,"$64,503,067 ","$28,051,045 ",43.50%,"$36,452,022 ",56.50%
79,White Snake,"$61,618,539 ","$21,493 ",<0.1%,"$61,597,046 ",100%
80,Ma,"$60,582,764 ","$45,373,120 ",74.90%,"$15,209,644 ",25.10%
81,Ready or Not,"$57,437,450 ","$28,714,231 ",50%,"$28,723,219 ",50%
82,Long Shot,"$53,445,558 ","$30,316,271 ",56.70%,"$23,129,287 ",43.30%
83,Charlie's Angels,"$51,538,628 ","$16,938,628 ",32.90%,"$34,600,000 ",67.10%
84,Breakthrough,"$50,444,358 ","$40,713,082 ",80.70%,"$9,731,276 ",19.30%
85,Little,"$48,800,575 ","$40,673,960 ",83.30%,"$8,126,615 ",16.70%
86,Isn't It Romantic,"$48,791,187 ","$48,791,187 ",100%,-,-
87,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356 ","$196,634 ",0.40%,"$45,536,722 ",99.60%
88,Playing with Fire,"$45,551,350 ","$39,412,076 ",86.50%,"$6,139,274 ",13.50%
89,Child's Play,"$44,902,237 ","$29,208,403 ",65%,"$15,693,834 ",35%
90,Hellboy,"$44,664,690 ","$21,903,748 ",49%,"$22,760,942 ",51%
91,Midsommar,"$41,084,036 ","$27,426,361 ",66.80%,"$13,657,675 ",33.20%
92,47 Meters Down: Uncaged,"$39,910,516 ","$22,260,900 ",55.80%,"$17,649,616 ",44.20%
93,Harriet,"$39,777,540 ","$39,577,540 ",99.50%,"$200,000 ",0.50%
94,Fighting with My Family,"$39,058,886 ","$22,958,886 ",58.80%,"$16,100,000 ",41.20%
95,Judy,"$37,181,723 ","$23,887,825 ",64.20%,"$13,293,898 ",35.80%
96,Overcomer,"$36,900,279 ","$34,712,782 ",94.10%,"$2,187,497 ",5.90%
97,The Intruder,"$36,599,361 ","$35,419,122 ",96.80%,"$1,180,239 ",3.20%
98,Pain and Glory,"$35,345,704 ","$3,490,325 ",9.90%,"$31,855,379 ",90.10%
99,Countdown,"$35,302,098 ","$25,302,098 ",71.70%,"$10,000,000 ",28.30%
100,A Beautiful Day in the Neighborhood,"$35,065,648 ","$35,065,648 ",100%,-,-
101,Bad Guys: The Movie,"$34,024,386 ","$166,972 ",0.50%,"$33,857,414 ",99.50%
102,The Art of Racing in the Rain,"$33,766,787 ","$26,395,642 ",78.20%,"$7,371,145 ",21.80%
103,Brightburn,"$32,893,421 ","$17,300,439 ",52.60%,"$15,592,982 ",47.40%
104,UglyDolls,"$32,450,241 ","$20,150,241 ",62.10%,"$12,300,000 ",37.90%
105,Stuber,"$32,390,945 ","$22,370,452 ",69.10%,"$10,020,493 ",30.90%
106,The Kid Who Would Be King,"$32,140,970 ","$16,790,790 ",52.20%,"$15,350,180 ",47.80%
107,Anna,"$30,918,726 ","$7,743,794 ",25%,"$23,174,932 ",75%
108,No Manches Frida 2,"$26,493,648 ","$9,270,920 ",35%,"$17,222,728 ",65%
109,Missing Link,"$26,249,469 ","$16,649,539 ",63.40%,"$9,599,930 ",36.60%
110,"The Gangster, the Cop, the Devil","$25,775,371 ","$216,494 ",0.80%,"$25,558,877 ",99.20%
111,Total Dhamaal,"$25,031,267 ","$2,167,632 ",8.70%,"$22,863,635 ",91.30%
112,Gully Boy,"$24,971,631 ","$5,566,534 ",22.30%,"$19,405,097 ",77.70%
113,Booksmart,"$24,843,990 ","$22,680,962 ",91.30%,"$2,163,028 ",8.70%
114,Late Night,"$22,386,466 ","$15,499,454 ",69.20%,"$6,887,012 ",30.80%
115,Black and Blue,"$22,366,810 ","$21,763,688 ",97.30%,"$603,122 ",2.70%
116,21 Bridges,"$22,328,874 ","$19,598,874 ",87.80%,"$2,730,000 ",12.20%
117,The Good Liar,"$21,932,365 ","$15,032,365 ",68.50%,"$6,900,000 ",31.50%
118,Shaft,"$21,360,215 ","$21,360,215 ",100%,-,-
119,Jojo Rabbit,"$21,027,057 ","$18,439,352 ",87.70%,"$2,587,705 ",12.30%
120,The Peanut Butter Falcon,"$20,753,681 ","$20,437,876 ",98.50%,"$315,805 ",1.50%
121,Hotel Mumbai,"$20,296,746 ","$9,651,611 ",47.60%,"$10,645,135 ",52.40%
122,The Farewell,"$19,602,064 ","$17,695,781 ",90.30%,"$1,906,283 ",9.70%
123,Unplanned,"$19,320,481 ","$19,005,109 ",98.40%,"$315,372 ",1.60%
124,Peppa Celebrates Chinese New Year,"$18,653,040 ","$131,225 ",0.70%,"$18,521,815 ",99.30%
125,Greta,"$18,640,313 ","$10,519,425 ",56.40%,"$8,120,888 ",43.60%
126,Blinded by the Light,"$18,019,198 ","$11,901,145 ",66%,"$6,118,053 ",34%
127,Always Miss You,"$17,691,872 ","$91,884 ",0.50%,"$17,599,988 ",99.50%
128,Pavarotti,"$17,373,124 ","$4,600,249 ",26.50%,"$12,772,875 ",73.50%
129,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864 ","$420,595 ",2.40%,"$16,875,269 ",97.60%
130,Queen & Slim,"$17,061,060 ","$17,061,060 ",100%,-,-
131,Nothing to Lose 2,"$16,610,713 ","$1,150,551 ",6.90%,"$15,460,162 ",93.10%
132,Tazza: One-Eyed Jack,"$16,572,611 ","$97,655 ",0.60%,"$16,474,956 ",99.40%
133,Poms,"$16,418,218 ","$13,631,124 ",83%,"$2,787,094 ",17%
134,Little Q,"$16,358,581 ",-,-,"$16,358,581 ",100%
135,Kalank,"$16,130,339 ","$2,729,336 ",16.90%,"$13,401,003 ",83.10%
136,The Kitchen,"$15,880,032 ","$12,180,032 ",76.70%,"$3,700,000 ",23.30%
137,Miss Bala,"$15,383,580 ","$15,006,824 ",97.60%,"$376,756 ",2.40%
138,Serenity,"$14,387,413 ","$8,547,045 ",59.40%,"$5,840,368 ",40.60%
139,The Dead Don't Die,"$13,963,605 ","$6,563,605 ",47%,"$7,400,000 ",53%
140,Playmobil: The Movie,"$12,457,067 ",-,-,"$12,457,067 ",100%
141,Miss & Mrs. Cops,"$12,147,170 ","$104,578 ",0.90%,"$12,042,592 ",99.10%
142,Apollo 11,"$12,119,692 ","$9,039,891 ",74.60%,"$3,079,801 ",25.40%
143,The Divine Fury,"$11,799,556 ","$102,982 ",0.90%,"$11,696,574 ",99.10%
144,Motherless Brooklyn,"$11,590,698 ","$9,190,698 ",79.30%,"$2,400,000 ",20.70%
145,Bring The Soul: The Movie,"$11,393,886 ","$4,809,800 ",42.20%,"$6,584,086 ",57.80%
146,Gloria Bell,"$11,145,006 ","$5,611,123 ",50.30%,"$5,533,883 ",49.70%
147,The Lighthouse,"$10,902,916 ","$10,402,916 ",95.40%,"$500,000 ",4.60%
148,The Current War: Director's Cut,"$10,822,649 ","$5,946,532 ",54.90%,"$4,876,117 ",45.10%
149,The Best of Enemies,"$10,209,813 ","$10,205,616 ",100%,"$4,197 ",<0.1%
150,BTS World Tour: Love Yourself in Seoul,"$10,109,421 ","$3,509,917 ",34.70%,"$6,599,504 ",65.30%
151,"Where'd You Go, Bernadette","$10,093,124 ","$9,198,356 ",91.10%,"$894,768 ",8.90%
152,The Goldfinch,"$9,832,621 ","$5,332,621 ",54.20%,"$4,500,000 ",45.80%
153,Tod@s Caen,"$9,667,157 ","$2,670,925 ",27.60%,"$6,996,232 ",72.40%
154,The Aftermath,"$9,215,591 ","$1,618,497 ",17.60%,"$7,597,094 ",82.40%
155,Captive State,"$8,771,532 ","$5,958,315 ",67.90%,"$2,813,217 ",32.10%
156,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612 ","$522,805 ",6%,"$8,192,807 ",94%
157,Promare,"$8,554,650 ","$1,418,602 ",16.60%,"$7,136,048 ",83.40%
158,The Traitor,"$7,829,089 ",-,-,"$7,829,089 ",100%
159,Tolkien,"$7,776,413 ","$4,535,154 ",58.30%,"$3,241,259 ",41.70%
160,Bharat,"$7,762,483 ","$2,971,549 ",38.30%,"$4,790,934 ",61.70%
161,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048 ","$34,135 ",0.40%,"$7,698,913 ",99.60%
162,Penguins,"$7,699,452 ","$7,699,452 ",100%,-,-
163,The Battle of Jangsari,"$7,693,800 ","$70,853 ",0.90%,"$7,622,947 ",99.10%
164,By the Grace of God,"$7,689,745 ","$56,235 ",0.70%,"$7,633,510 ",99.30%
165,The White Crow,"$7,622,595 ","$1,828,784 ",24%,"$5,793,811 ",76%
166,Brittany Runs a Marathon,"$7,440,228 ","$7,189,808 ",96.60%,"$250,420 ",3.40%
167,Mayday Life,"$7,435,496 ","$85,912 ",1.20%,"$7,349,584 ",98.80%
168,Jexi,"$7,430,723 ","$6,546,159 ",88.10%,"$884,564 ",11.90%
169,Wild Rose,"$7,123,449 ","$1,635,117 ",23%,"$5,488,332 ",77%
170,The Sun Is Also a Star,"$6,650,029 ","$4,950,029 ",74.40%,"$1,700,000 ",25.60%
171,Arctic Dogs,"$6,616,905 ","$5,660,735 ",85.50%,"$956,170 ",14.50%
172,Official Secrets,"$6,549,612 ","$1,988,546 ",30.40%,"$4,561,066 ",69.60%
173,Run the Race,"$6,424,420 ","$6,424,420 ",100%,-,-
174,The Mustang,"$6,405,816 ","$5,043,620 ",78.70%,"$1,362,196 ",21.30%
175,Immortal Hero,"$6,179,954 ","$43,007 ",0.70%,"$6,136,947 ",99.30%
176,National Theatre Live: Fleabag,"$6,020,353 ","$326,283 ",5.40%,"$5,694,070 ",94.60%
177,"Cyrano, My Love","$5,982,358 ","$351,019 ",5.90%,"$5,631,339 ",94.10%
178,The Professor and the Madman,"$5,737,400 ",-,-,"$5,737,400 ",100%
179,Furie,"$5,717,640 ","$594,788 ",10.40%,"$5,122,852 ",89.60%
180,Saaho,"$5,708,522 ","$2,872,057 ",50.30%,"$2,836,465 ",49.70%
181,Mission Mangal,"$5,667,057 ","$3,659,413 ",64.60%,"$2,007,644 ",35.40%
182,Don't Let Go,"$5,288,011 ","$5,215,062 ",98.60%,"$72,949 ",1.40%
183,The Biggest Little Farm,"$5,047,078 ","$4,366,949 ",86.50%,"$680,129 ",13.50%
184,KonoSuba - God's Blessing on This Wonderful World!: Legend of Crimson,"$4,853,893 ","$1,134,786 ",23.40%,"$3,719,107 ",76.60%
185,Menteur,"$4,697,364 ","$4,697,364 ",100%,-,-
186,The Last Black Man in San Francisco,"$4,607,017 ","$4,515,719 ",98%,"$91,298 ",2%
187,Housefull 4,"$4,579,675 ","$2,109,160 ",46.10%,"$2,470,515 ",53.90%
188,The Beach Bum,"$4,553,909 ","$3,502,600 ",76.90%,"$1,051,309 ",23.10%
189,Brian Banks,"$4,376,819 ","$4,376,819 ",100%,-,-
190,Uri: The Surgical Strike 2019 Re-release,"$4,302,454 ","$4,186,168 ",97.30%,"$116,286 ",2.70%
191,Linda Ronstadt: The Sound of My Voice,"$4,207,563 ","$4,207,563 ",100%,-,-
192,Savage,"$4,140,502 ","$74,491 ",1.80%,"$4,066,011 ",98.20%
193,Arctic 2019 Re-release,"$4,124,015 ","$2,410,795 ",58.50%,"$1,713,220 ",41.50%
194,Lucifer,"$3,956,978 ",-,-,"$3,956,978 ",100%
195,Super 30,"$3,953,337 ","$2,269,878 ",57.40%,"$1,683,459 ",42.60%
196,Badla,"$3,590,894 ","$1,861,000 ",51.80%,"$1,729,894 ",48.20%
197,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550 ","$3,531,094 ",99.80%,"$7,456 ",0.20%
198,Maiden,"$3,482,861 ","$3,160,007 ",90.70%,"$322,854 ",9.30%
199,Midnight Diner,"$3,412,771 ","$18,555 ",0.50%,"$3,394,216 ",99.50%
200,The Hole in the Ground,"$3,373,474 ","$21,072 ",0.60%,"$3,352,402 ",99.40%
201,Echo in the Canyon,"$3,355,324 ","$3,355,324 ",100%,-,-
202,The Death and Life of John F. Donovan,"$3,326,364 ","$152,713 ",4.60%,"$3,173,651 ",95.40%
203,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,307,565 ","$1,182,636 ",35.80%,"$2,124,929 ",64.20%
204,Chhichhore,"$3,307,350 ","$2,004,400 ",60.60%,"$1,302,950 ",39.40%
205,Pilgrim's Progress,"$3,173,282 ","$1,294,596 ",40.80%,"$1,878,686 ",59.20%
206,Western Stars,"$3,079,996 ","$1,579,996 ",51.30%,"$1,500,000 ",48.70%
207,All Is True,"$3,019,143 ","$1,200,481 ",39.80%,"$1,818,662 ",60.20%
208,Friends 25th: The One With The Anniversary,"$3,000,137 ","$2,884,827 ",96.20%,"$115,310 ",3.80%
209,Portrait of a Lady on Fire,"$2,936,245 ",-,-,"$2,936,245 ",100%
210,Jay and Silent Bob Reboot,"$2,801,841 ","$2,801,841 ",100%,-,-
211,Metallica & San Francisco Symphony - S&M2,"$2,705,442 ","$1,252,385 ",46.30%,"$1,453,057 ",53.70%
212,Faustina: Love and Mercy,"$2,672,316 ","$1,416,609 ",53%,"$1,255,707 ",47%
213,After the Wedding,"$2,623,072 ","$1,574,258 ",60%,"$1,048,814 ",40%
214,Marianne & Leonard: Words of Love,"$2,622,548 ","$1,012,034 ",38.60%,"$1,610,514 ",61.40%
215,Diego Maradona,"$2,617,806 ",-,-,"$2,617,806 ",100%
216,Spirits in the Forest,"$2,530,728 ","$704,744 ",27.80%,"$1,825,984 ",72.20%
217,Polaroid,"$2,493,569 ",-,-,"$2,493,569 ",100%
218,The Art of Self-Defense,"$2,414,269 ","$2,410,914 ",99.90%,"$3,355 ",0.10%
219,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$2,403,030 ","$90,341 ",3.80%,"$2,312,689 ",96.20%
220,3 from Hell,"$2,289,265 ","$2,172,949 ",94.90%,"$116,316 ",5.10%
221,Piranhas,"$2,285,086 ","$23,494 ",1%,"$2,261,592 ",99%
222,Luce,"$2,260,316 ","$2,010,613 ",89%,"$249,703 ",11%
223,Gone with the Wind 2019 Re-release,"$2,176,120 ","$2,176,120 ",100%,-,-
224,The Aeronauts,"$2,156,698 ",-,-,"$2,156,698 ",100%
225,The Wizard of Oz 2019 Re-release,"$2,076,020 ","$2,076,020 ",100%,-,-
226,Luka Chuppi,"$1,923,586 ","$1,042,905 ",54.20%,"$880,681 ",45.80%
227,The Other Side of Heaven 2: Fire of Faith,"$1,807,216 ","$1,807,216 ",100%,-,-
228,42nd Street: The Musical,"$1,724,565 ","$187,440 ",10.90%,"$1,537,125 ",89.10%
229,The Souvenir,"$1,719,157 ","$1,036,737 ",60.30%,"$682,420 ",39.70%
230,A Brother's Love,"$1,671,969 ","$539,524 ",32.30%,"$1,132,445 ",67.70%
231,Student of the Year 2,"$1,635,907 ","$778,566 ",47.60%,"$857,341 ",52.40%
232,The Informer,"$1,623,364 ",-,-,"$1,623,364 ",100%
233,Matthias & Maxime,"$1,604,378 ","$365,918 ",22.80%,"$1,238,460 ",77.20%
234,The Crossing,"$1,589,212 ","$90,896 ",5.70%,"$1,498,316 ",94.30%
235,The Kid,"$1,551,521 ","$1,508,593 ",97.20%,"$42,928 ",2.80%
236,Tel Aviv on Fire,"$1,548,893 ","$506,145 ",32.70%,"$1,042,748 ",67.30%
237,The Chaperone,"$1,541,223 ","$600,654 ",39%,"$940,569 ",61%
238,Honey Boy,"$1,536,804 ","$1,536,804 ",100%,-,-
239,De De Pyaar De,"$1,473,116 ","$425,934 ",28.90%,"$1,047,182 ",71.10%
240,Teen Spirit,"$1,457,366 ","$441,366 ",30.30%,"$1,016,000 ",69.70%
241,El Chicano,"$1,404,646 ","$1,400,603 ",99.70%,"$4,043 ",0.30%
242,Alien 2019 Re-release,"$1,356,259 ","$833,658 ",61.50%,"$522,601 ",38.50%
243,Monos,"$1,328,447 ","$406,473 ",30.60%,"$921,974 ",69.40%
244,Roger Waters - Us + Them,"$1,294,480 ","$611,644 ",47.30%,"$682,836 ",52.70%
245,Fagara,"$1,265,949 ","$43,417 ",3.40%,"$1,222,532 ",96.60%
246,Batla House,"$1,264,337 ","$493,180 ",39%,"$771,157 ",61%
247,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552 ","$1,226,552 ",100%,-,-
248,Kingdom Men Rising,"$1,188,936 ","$1,188,936 ",100%,-,-
249,Los Domirriqueños 2,"$1,187,280 ","$1,187,280 ",100%,-,-
250,My Neighbor Totoro 2019 Re-release,"$1,105,564 ","$1,105,564 ",100%,-,-
251,El Coyote,"$1,101,470 ","$1,101,470 ",100%,-,-
252,The Sky Is Pink,"$1,088,641 ","$652,592 ",59.90%,"$436,049 ",40.10%
253,Jesus Is King,"$1,082,075 ","$973,000 ",89.90%,"$109,075 ",10.10%
254,Bennett's War,"$1,056,416 ","$1,056,416 ",100%,-,-
255,Noah: The Musical,"$1,035,603 ","$1,035,603 ",100%,-,-
256,Dark Waters,"$1,012,524 ","$1,012,524 ",100%,-,-
257,Cold Blood,"$1,009,888 ","$5,083 ",0.50%,"$1,004,805 ",99.50%
258,Kiki's Delivery Service 2019 Re-release,"$1,004,057 ","$1,004,057 ",100%,-,-
259,Rush: Cinema Strangiato 2019,"$960,073 ","$960,073 ",100%,-,-
260,The Fighting Preacher,"$922,656 ","$922,656 ",100%,-,-
261,Toni Morrison: The Pieces I Am,"$903,018 ","$903,018 ",100%,-,-
262,Kinky Boots: The Musical,"$900,451 ","$900,451 ",100%,-,-
263,The Hummingbird Project,"$899,037 ","$371,784 ",41.40%,"$527,253 ",58.60%
264,The Game Changers,"$897,992 ","$739,711 ",82.40%,"$158,281 ",17.60%
265,Miles Davis: Birth of the Cool,"$896,528 ","$614,201 ",68.50%,"$282,327 ",31.50%
266,Between Me and My Mind,"$875,191 ","$875,191 ",100%,-,-
267,Howl's Moving Castle 2019 Re-release,"$865,647 ","$865,647 ",100%,-,-
268,Steel Magnolias 2019 Re-release,"$855,421 ","$855,421 ",100%,-,-
269,Joni 75: A Birthday Celebration,"$808,831 ","$752,205 ",93%,"$56,626 ",7%
270,Vita & Virginia,"$793,068 ","$42,741 ",5.40%,"$750,327 ",94.60%
271,Chonda Pierce: Unashamed,"$787,979 ","$787,979 ",100%,-,-
272,Mystify: Michael Hutchence,"$779,773 ",-,-,"$779,773 ",100%
273,Fantastic Fungi,"$777,518 ","$777,518 ",100%,-,-
274,The Church,"$772,000 ","$772,000 ",100%,-,-
275,The Nightingale,"$767,064 ","$400,209 ",52.20%,"$366,855 ",47.80%
276,DanTDM Presents The Contest,"$765,363 ","$307,484 ",40.20%,"$457,879 ",59.80%
277,Patterns of Evidence: Moses Controversy,"$765,361 ","$765,361 ",100%,-,-
278,I Love Lucy: A Colorized Celebration,"$754,323 ","$754,323 ",100%,-,-
279,David Crosby: Remember My Name,"$731,557 ","$731,557 ",100%,-,-
280,Honeyland,"$725,974 ","$711,628 ",98%,"$14,346 ",2%
281,Where's My Roy Cohn?,"$697,730 ","$697,730 ",100%,-,-
282,The Least of These: The Graham Staines Story,"$695,164 ","$607,015 ",87.30%,"$88,149 ",12.70%
283,Raise Hell: The Life & Times of Molly Ivins,"$693,723 ","$693,723 ",100%,-,-
284,Stockholm,"$692,514 ","$292,590 ",42.30%,"$399,924 ",57.70%
285,Romeo Akbar Walter,"$688,719 ","$236,299 ",34.30%,"$452,420 ",65.70%
286,For Sama,"$660,381 ","$43,796 ",6.60%,"$616,585 ",93.40%
287,The Public,"$641,835 ","$573,503 ",89.40%,"$68,332 ",10.60%
288,Frankie,"$629,307 ","$142,718 ",22.70%,"$486,589 ",77.30%
289,Asako I & II,"$626,871 ","$25,328 ",4%,"$601,543 ",96%
290,Dirty Dancing 2019 Re-release,"$622,968 ","$622,968 ",100%,-,-
291,Give Me Liberty,"$614,049 ","$232,631 ",37.90%,"$381,418 ",62.10%
292,The Muppet Movie 2019 Re-release,"$610,475 ","$610,475 ",100%,-,-
293,The Golden Glove,"$604,147 ","$6,160 ",1%,"$597,987 ",99%
294,To Kill a Mockingbird 2019 Re-release,"$592,237 ","$592,237 ",100%,-,-
295,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904 ","$378,405 ",63.90%,"$213,499 ",36.10%
